# Data file for U(x)
# mu = 18.884262196720503
# omB = 3.432
# Columns:
# 1) x
# 2) U(x)
# 3) local density n_e(x)
# 4) compressibility dn_e(x)
# 
-1.99980000e+03 3.53725948e+04 0.00000000e+00 0.00000000e+00
-1.99913329e+03 3.53384756e+04 0.00000000e+00 0.00000000e+00
-1.99846658e+03 3.52704734e+04 0.00000000e+00 0.00000000e+00
-1.99779987e+03 3.51689485e+04 0.00000000e+00 0.00000000e+00
-1.99713316e+03 3.50344394e+04 0.00000000e+00 0.00000000e+00
-1.99646644e+03 3.48676455e+04 0.00000000e+00 0.00000000e+00
-1.99579973e+03 3.46694154e+04 0.00000000e+00 0.00000000e+00
-1.99513302e+03 3.44407341e+04 0.00000000e+00 0.00000000e+00
-1.99446631e+03 3.41827098e+04 0.00000000e+00 0.00000000e+00
-1.99379960e+03 3.38965612e+04 0.00000000e+00 0.00000000e+00
-1.99313289e+03 3.35836038e+04 0.00000000e+00 0.00000000e+00
-1.99246618e+03 3.32452364e+04 0.00000000e+00 0.00000000e+00
-1.99179947e+03 3.28829272e+04 0.00000000e+00 0.00000000e+00
-1.99113276e+03 3.24981998e+04 0.00000000e+00 0.00000000e+00
-1.99046604e+03 3.20926190e+04 0.00000000e+00 0.00000000e+00
-1.98979933e+03 3.16677765e+04 0.00000000e+00 0.00000000e+00
-1.98913262e+03 3.12252771e+04 0.00000000e+00 0.00000000e+00
-1.98846591e+03 3.07667249e+04 0.00000000e+00 0.00000000e+00
-1.98779920e+03 3.02937106e+04 0.00000000e+00 0.00000000e+00
-1.98713249e+03 2.98077992e+04 0.00000000e+00 0.00000000e+00
-1.98646578e+03 2.93105192e+04 0.00000000e+00 0.00000000e+00
-1.98579907e+03 2.88033529e+04 0.00000000e+00 0.00000000e+00
-1.98513236e+03 2.82877275e+04 0.00000000e+00 0.00000000e+00
-1.98446564e+03 2.77650083e+04 0.00000000e+00 0.00000000e+00
-1.98379893e+03 2.72364932e+04 0.00000000e+00 0.00000000e+00
-1.98313222e+03 2.67034082e+04 0.00000000e+00 0.00000000e+00
-1.98246551e+03 2.61669045e+04 0.00000000e+00 0.00000000e+00
-1.98179880e+03 2.56280575e+04 0.00000000e+00 0.00000000e+00
-1.98113209e+03 2.50878664e+04 0.00000000e+00 0.00000000e+00
-1.98046538e+03 2.45472552e+04 0.00000000e+00 0.00000000e+00
-1.97979867e+03 2.40070747e+04 0.00000000e+00 0.00000000e+00
-1.97913196e+03 2.34681059e+04 0.00000000e+00 0.00000000e+00
-1.97846524e+03 2.29310635e+04 0.00000000e+00 0.00000000e+00
-1.97779853e+03 2.23966005e+04 0.00000000e+00 0.00000000e+00
-1.97713182e+03 2.18653128e+04 0.00000000e+00 0.00000000e+00
-1.97646511e+03 2.13377447e+04 0.00000000e+00 0.00000000e+00
-1.97579840e+03 2.08143942e+04 0.00000000e+00 0.00000000e+00
-1.97513169e+03 2.02957185e+04 0.00000000e+00 0.00000000e+00
-1.97446498e+03 1.97821389e+04 0.00000000e+00 0.00000000e+00
-1.97379827e+03 1.92740463e+04 0.00000000e+00 0.00000000e+00
-1.97313156e+03 1.87718054e+04 0.00000000e+00 0.00000000e+00
-1.97246484e+03 1.82757595e+04 0.00000000e+00 0.00000000e+00
-1.97179813e+03 1.77862338e+04 0.00000000e+00 0.00000000e+00
-1.97113142e+03 1.73035388e+04 0.00000000e+00 0.00000000e+00
-1.97046471e+03 1.68279730e+04 0.00000000e+00 0.00000000e+00
-1.96979800e+03 1.63598248e+04 0.00000000e+00 0.00000000e+00
-1.96913129e+03 1.58993740e+04 0.00000000e+00 0.00000000e+00
-1.96846458e+03 1.54468923e+04 0.00000000e+00 0.00000000e+00
-1.96779787e+03 1.50026443e+04 0.00000000e+00 0.00000000e+00
-1.96713116e+03 1.45668865e+04 0.00000000e+00 0.00000000e+00
-1.96646444e+03 1.41398672e+04 0.00000000e+00 0.00000000e+00
-1.96579773e+03 1.37218252e+04 0.00000000e+00 0.00000000e+00
-1.96513102e+03 1.33129883e+04 0.00000000e+00 0.00000000e+00
-1.96446431e+03 1.29135720e+04 0.00000000e+00 0.00000000e+00
-1.96379760e+03 1.25237775e+04 0.00000000e+00 0.00000000e+00
-1.96313089e+03 1.21437897e+04 0.00000000e+00 0.00000000e+00
-1.96246418e+03 1.17737756e+04 0.00000000e+00 0.00000000e+00
-1.96179747e+03 1.14138823e+04 0.00000000e+00 0.00000000e+00
-1.96113076e+03 1.10642349e+04 0.00000000e+00 0.00000000e+00
-1.96046404e+03 1.07249354e+04 0.00000000e+00 0.00000000e+00
-1.95979733e+03 1.03960609e+04 0.00000000e+00 0.00000000e+00
-1.95913062e+03 1.00776627e+04 0.00000000e+00 0.00000000e+00
-1.95846391e+03 9.76976523e+03 0.00000000e+00 0.00000000e+00
-1.95779720e+03 9.47236562e+03 0.00000000e+00 0.00000000e+00
-1.95713049e+03 9.18543328e+03 0.00000000e+00 0.00000000e+00
-1.95646378e+03 8.90891001e+03 0.00000000e+00 0.00000000e+00
-1.95579707e+03 8.64271038e+03 0.00000000e+00 0.00000000e+00
-1.95513036e+03 8.38672235e+03 0.00000000e+00 0.00000000e+00
-1.95446364e+03 8.14080823e+03 0.00000000e+00 0.00000000e+00
-1.95379693e+03 7.90480589e+03 0.00000000e+00 0.00000000e+00
-1.95313022e+03 7.67853019e+03 0.00000000e+00 0.00000000e+00
-1.95246351e+03 7.46177468e+03 0.00000000e+00 0.00000000e+00
-1.95179680e+03 7.25431335e+03 0.00000000e+00 0.00000000e+00
-1.95113009e+03 7.05590269e+03 0.00000000e+00 0.00000000e+00
-1.95046338e+03 6.86628369e+03 0.00000000e+00 0.00000000e+00
