# Data file for U(x)
# mu = 18.883653708041614
# omB = 3.432
# Columns:
# 1) x
# 2) U(x)
# 3) local density n_e(x)
# 4) compressibility dn_e(x)
# 
-1.99980000e+03 3.51826583e+04 0.00000000e+00 2.22520269e-56
-1.99407811e+03 3.38602005e+04 0.00000000e+00 2.22520269e-56
-1.98835622e+03 3.05847713e+04 0.00000000e+00 2.22520269e-56
-1.98263433e+03 2.62459044e+04 0.00000000e+00 2.22520269e-56
-1.97691245e+03 2.16620196e+04 0.00000000e+00 2.22520269e-56
-1.97119056e+03 1.73314587e+04 0.00000000e+00 2.22520269e-56
-1.96546867e+03 1.35144509e+04 0.00000000e+00 2.22520269e-56
-1.95974678e+03 1.03728974e+04 0.00000000e+00 2.22520269e-56
-1.95402489e+03 7.98408681e+03 0.00000000e+00 2.22520269e-56
-1.94830300e+03 6.30077706e+03 0.00000000e+00 2.22520269e-56
-1.94258112e+03 5.17160080e+03 0.00000000e+00 2.22520269e-56
-1.93685923e+03 4.41665248e+03 0.00000000e+00 2.22520269e-56
-1.93113734e+03 3.89013366e+03 0.00000000e+00 2.22520269e-56
-1.92541545e+03 3.49882990e+03 0.00000000e+00 2.22520269e-56
-1.91969356e+03 3.19087002e+03 0.00000000e+00 2.22520269e-56
-1.91397167e+03 2.93854524e+03 0.00000000e+00 2.22520269e-56
-1.90824979e+03 2.72627278e+03 0.00000000e+00 2.22520269e-56
-1.90252790e+03 2.54439890e+03 0.00000000e+00 2.22520269e-56
-1.89680601e+03 2.38637170e+03 0.00000000e+00 2.22520269e-56
-1.89108412e+03 2.24749063e+03 0.00000000e+00 2.22520269e-56
-1.88536223e+03 2.12425757e+03 0.00000000e+00 2.22520269e-56
-1.87964034e+03 2.01400318e+03 0.00000000e+00 2.22520269e-56
-1.87391845e+03 1.91464942e+03 0.00000000e+00 2.22520269e-56
-1.86819657e+03 1.82454928e+03 0.00000000e+00 2.22520269e-56
-1.86247468e+03 1.74238498e+03 0.00000000e+00 2.22520269e-56
-1.85675279e+03 1.66707925e+03 0.00000000e+00 2.22520269e-56
-1.85103090e+03 1.59774736e+03 0.00000000e+00 2.22520269e-56
-1.84530901e+03 1.53365411e+03 0.00000000e+00 2.22520269e-56
-1.83958712e+03 1.47418299e+03 0.00000000e+00 2.22520269e-56
-1.83386524e+03 1.41881175e+03 0.00000000e+00 2.22520269e-56
-1.82814335e+03 1.36709898e+03 0.00000000e+00 2.22520269e-56
-1.82242146e+03 1.31866311e+03 0.00000000e+00 2.22520269e-56
-1.81669957e+03 1.27317603e+03 0.00000000e+00 2.22520269e-56
-1.81097768e+03 1.23035314e+03 0.00000000e+00 2.22520269e-56
-1.80525579e+03 1.18994637e+03 0.00000000e+00 2.22520269e-56
-1.79953391e+03 1.15173746e+03 0.00000000e+00 2.22520269e-56
-1.79381202e+03 1.11553671e+03 0.00000000e+00 2.22520269e-56
-1.78809013e+03 1.08117410e+03 0.00000000e+00 2.22520269e-56
-1.78236824e+03 1.04849964e+03 0.00000000e+00 2.22520269e-56
-1.77664635e+03 1.01737966e+03 0.00000000e+00 2.22520269e-56
-1.77092446e+03 9.87694740e+02 0.00000000e+00 2.22520269e-56
-1.76520258e+03 9.59337171e+02 0.00000000e+00 2.22520269e-56
-1.75948069e+03 9.32211846e+02 0.00000000e+00 2.22520269e-56
-1.75375880e+03 9.06231280e+02 0.00000000e+00 2.22520269e-56
-1.74803691e+03 8.81316893e+02 0.00000000e+00 2.22520269e-56
-1.74231502e+03 8.57397433e+02 0.00000000e+00 2.22520269e-56
-1.73659313e+03 8.34408120e+02 0.00000000e+00 2.22520269e-56
-1.73087124e+03 8.12289933e+02 0.00000000e+00 2.22520269e-56
-1.72514936e+03 7.90988515e+02 0.00000000e+00 2.22520269e-56
-1.71942747e+03 7.70455436e+02 0.00000000e+00 2.22520269e-56
-1.71370558e+03 7.50644982e+02 0.00000000e+00 2.22520269e-56
-1.70798369e+03 7.31515578e+02 0.00000000e+00 2.22520269e-56
-1.70226180e+03 7.13028954e+02 0.00000000e+00 2.22520269e-56
