# Data file for U(x)
# mu = 30.47707150373364
# omB = 12.32
# Columns:
# 1) x
# 2) U(x)
# 3) local density n_e(x)
# 4) compressibility dn_e(x)
# 
-5.99940000e+03 2.14570839e+05 0.00000000e+00 0.00000000e+00
-5.99789996e+03 2.02593970e+05 0.00000000e+00 0.00000000e+00
-5.99639992e+03 1.94518828e+05 0.00000000e+00 0.00000000e+00
-5.99489989e+03 1.87923533e+05 0.00000000e+00 0.00000000e+00
-5.99339985e+03 1.82168421e+05 0.00000000e+00 0.00000000e+00
-5.99189981e+03 1.76969080e+05 0.00000000e+00 0.00000000e+00
-5.99039977e+03 1.72168899e+05 0.00000000e+00 0.00000000e+00
-5.98889974e+03 1.67670418e+05 0.00000000e+00 0.00000000e+00
-5.98739970e+03 1.63407903e+05 0.00000000e+00 0.00000000e+00
-5.98589966e+03 1.59334386e+05 0.00000000e+00 0.00000000e+00
-5.98439962e+03 1.55414786e+05 0.00000000e+00 0.00000000e+00
-5.98289959e+03 1.51621949e+05 0.00000000e+00 0.00000000e+00
-5.98139955e+03 1.47934215e+05 0.00000000e+00 0.00000000e+00
-5.97989951e+03 1.44333843e+05 0.00000000e+00 0.00000000e+00
-5.97839947e+03 1.40805958e+05 0.00000000e+00 0.00000000e+00
-5.97689944e+03 1.37337802e+05 0.00000000e+00 0.00000000e+00
-5.97539940e+03 1.33918202e+05 0.00000000e+00 0.00000000e+00
-5.97389936e+03 1.30537170e+05 0.00000000e+00 0.00000000e+00
-5.97239932e+03 1.27185591e+05 0.00000000e+00 0.00000000e+00
-5.97089929e+03 1.23854977e+05 0.00000000e+00 0.00000000e+00
-5.96939925e+03 1.20537256e+05 0.00000000e+00 0.00000000e+00
-5.96789921e+03 1.17224593e+05 0.00000000e+00 0.00000000e+00
-5.96639917e+03 1.13909222e+05 0.00000000e+00 0.00000000e+00
-5.96489914e+03 1.10583284e+05 0.00000000e+00 0.00000000e+00
-5.96339910e+03 1.07238663e+05 0.00000000e+00 0.00000000e+00
-5.96189906e+03 1.03866809e+05 0.00000000e+00 0.00000000e+00
-5.96039902e+03 1.00458559e+05 0.00000000e+00 0.00000000e+00
-5.95889899e+03 9.70039362e+04 0.00000000e+00 0.00000000e+00
-5.95739895e+03 9.34919773e+04 0.00000000e+00 0.00000000e+00
-5.95589891e+03 8.99106265e+04 0.00000000e+00 0.00000000e+00
-5.95439887e+03 8.62468757e+04 0.00000000e+00 0.00000000e+00
-5.95289884e+03 8.24875215e+04 0.00000000e+00 0.00000000e+00
-5.95139880e+03 7.86214106e+04 0.00000000e+00 0.00000000e+00
-5.94989876e+03 7.46451147e+04 0.00000000e+00 0.00000000e+00
-5.94839872e+03 7.05762921e+04 0.00000000e+00 0.00000000e+00
-5.94689869e+03 6.64837846e+04 0.00000000e+00 0.00000000e+00
-5.94539865e+03 6.25526046e+04 0.00000000e+00 0.00000000e+00
-5.94389861e+03 5.92152187e+04 0.00000000e+00 0.00000000e+00
-5.94239857e+03 5.73773431e+04 0.00000000e+00 0.00000000e+00
-5.94089854e+03 5.86007127e+04 0.00000000e+00 0.00000000e+00
-5.93939850e+03 6.41690726e+04 0.00000000e+00 0.00000000e+00
-5.93789846e+03 7.14224643e+04 0.00000000e+00 0.00000000e+00
-5.93639842e+03 7.51584281e+04 0.00000000e+00 0.00000000e+00
-5.93489839e+03 7.42174599e+04 0.00000000e+00 0.00000000e+00
-5.93339835e+03 7.00548588e+04 0.00000000e+00 0.00000000e+00
-5.93189831e+03 6.43320943e+04 0.00000000e+00 0.00000000e+00
-5.93039827e+03 5.82519933e+04 0.00000000e+00 0.00000000e+00
-5.92889824e+03 5.25413277e+04 0.00000000e+00 0.00000000e+00
-5.92739820e+03 4.75663720e+04 0.00000000e+00 0.00000000e+00
-5.92589816e+03 4.34515209e+04 0.00000000e+00 0.00000000e+00
-5.92439812e+03 4.01743072e+04 0.00000000e+00 0.00000000e+00
-5.92289809e+03 3.76344182e+04 0.00000000e+00 0.00000000e+00
-5.92139805e+03 3.57002105e+04 0.00000000e+00 0.00000000e+00
-5.91989801e+03 3.42375680e+04 0.00000000e+00 0.00000000e+00
-5.91839797e+03 3.31258404e+04 0.00000000e+00 0.00000000e+00
-5.91689794e+03 3.22649482e+04 0.00000000e+00 0.00000000e+00
-5.91539790e+03 3.15768902e+04 0.00000000e+00 0.00000000e+00
-5.91389786e+03 3.10040567e+04 0.00000000e+00 0.00000000e+00
-5.91239782e+03 3.05060126e+04 0.00000000e+00 0.00000000e+00
-5.91089779e+03 3.00558285e+04 0.00000000e+00 0.00000000e+00
-5.90939775e+03 2.96365899e+04 0.00000000e+00 0.00000000e+00
-5.90789771e+03 2.92384028e+04 0.00000000e+00 0.00000000e+00
-5.90639767e+03 2.88560110e+04 0.00000000e+00 0.00000000e+00
-5.90489764e+03 2.84870126e+04 0.00000000e+00 0.00000000e+00
-5.90339760e+03 2.81306029e+04 0.00000000e+00 0.00000000e+00
-5.90189756e+03 2.77867404e+04 0.00000000e+00 0.00000000e+00
-5.90039752e+03 2.74556346e+04 0.00000000e+00 0.00000000e+00
-5.89889749e+03 2.71374620e+04 0.00000000e+00 0.00000000e+00
-5.89739745e+03 2.68322341e+04 0.00000000e+00 0.00000000e+00
-5.89589741e+03 2.65397616e+04 0.00000000e+00 0.00000000e+00
-5.89439737e+03 2.62596699e+04 0.00000000e+00 0.00000000e+00
-5.89289734e+03 2.59914400e+04 0.00000000e+00 0.00000000e+00
-5.89139730e+03 2.57344571e+04 0.00000000e+00 0.00000000e+00
-5.88989726e+03 2.54880546e+04 0.00000000e+00 0.00000000e+00
-5.88839722e+03 2.52515515e+04 0.00000000e+00 0.00000000e+00
-5.88689719e+03 2.50242794e+04 0.00000000e+00 0.00000000e+00
-5.88539715e+03 2.48056015e+04 0.00000000e+00 0.00000000e+00
-5.88389711e+03 2.45949230e+04 0.00000000e+00 0.00000000e+00
-5.88239707e+03 2.43916966e+04 0.00000000e+00 0.00000000e+00
-5.88089704e+03 2.41954229e+04 0.00000000e+00 0.00000000e+00
-5.87939700e+03 2.40056490e+04 0.00000000e+00 0.00000000e+00
-5.87789696e+03 2.38219648e+04 0.00000000e+00 0.00000000e+00
-5.87639692e+03 2.36439988e+04 0.00000000e+00 0.00000000e+00
-5.87489689e+03 2.34714141e+04 0.00000000e+00 0.00000000e+00
-5.87339685e+03 2.33039036e+04 0.00000000e+00 0.00000000e+00
-5.87189681e+03 2.31411872e+04 0.00000000e+00 0.00000000e+00
-5.87039677e+03 2.29830075e+04 0.00000000e+00 0.00000000e+00
-5.86889674e+03 2.28291277e+04 0.00000000e+00 0.00000000e+00
-5.86739670e+03 2.26793288e+04 0.00000000e+00 0.00000000e+00
-5.86589666e+03 2.25334079e+04 0.00000000e+00 0.00000000e+00
-5.86439662e+03 2.23911762e+04 0.00000000e+00 0.00000000e+00
-5.86289659e+03 2.22524579e+04 0.00000000e+00 0.00000000e+00
-5.86139655e+03 2.21170888e+04 0.00000000e+00 0.00000000e+00
-5.85989651e+03 2.19849154e+04 0.00000000e+00 0.00000000e+00
-5.85839647e+03 2.18557938e+04 0.00000000e+00 0.00000000e+00
-5.85689644e+03 2.17295892e+04 0.00000000e+00 0.00000000e+00
-5.85539640e+03 2.16061751e+04 0.00000000e+00 0.00000000e+00
-5.85389636e+03 2.14854324e+04 0.00000000e+00 0.00000000e+00
-5.85239632e+03 2.13672492e+04 0.00000000e+00 0.00000000e+00
-5.85089629e+03 2.12515202e+04 0.00000000e+00 0.00000000e+00
-5.84939625e+03 2.11381460e+04 0.00000000e+00 0.00000000e+00
-5.84789621e+03 2.10270329e+04 0.00000000e+00 0.00000000e+00
-5.84639617e+03 2.09180924e+04 0.00000000e+00 0.00000000e+00
-5.84489614e+03 2.08112410e+04 0.00000000e+00 0.00000000e+00
-5.84339610e+03 2.07063994e+04 0.00000000e+00 0.00000000e+00
-5.84189606e+03 2.06034929e+04 0.00000000e+00 0.00000000e+00
-5.84039602e+03 2.05024504e+04 0.00000000e+00 0.00000000e+00
-5.83889599e+03 2.04032047e+04 0.00000000e+00 0.00000000e+00
-5.83739595e+03 2.03056920e+04 0.00000000e+00 0.00000000e+00
-5.83589591e+03 2.02098514e+04 0.00000000e+00 0.00000000e+00
-5.83439587e+03 2.01156254e+04 0.00000000e+00 0.00000000e+00
-5.83289584e+03 2.00229592e+04 0.00000000e+00 0.00000000e+00
-5.83139580e+03 1.99318004e+04 0.00000000e+00 0.00000000e+00
-5.82989576e+03 1.98420994e+04 0.00000000e+00 0.00000000e+00
-5.82839572e+03 1.97538086e+04 0.00000000e+00 0.00000000e+00
-5.82689569e+03 1.96668830e+04 0.00000000e+00 0.00000000e+00
-5.82539565e+03 1.95812793e+04 0.00000000e+00 0.00000000e+00
-5.82389561e+03 1.94969562e+04 0.00000000e+00 0.00000000e+00
-5.82239557e+03 1.94138743e+04 0.00000000e+00 0.00000000e+00
-5.82089554e+03 1.93319959e+04 0.00000000e+00 0.00000000e+00
-5.81939550e+03 1.92512851e+04 0.00000000e+00 0.00000000e+00
-5.81789546e+03 1.91717072e+04 0.00000000e+00 0.00000000e+00
-5.81639542e+03 1.90932291e+04 0.00000000e+00 0.00000000e+00
-5.81489539e+03 1.90158193e+04 0.00000000e+00 0.00000000e+00
-5.81339535e+03 1.89394472e+04 0.00000000e+00 0.00000000e+00
-5.81189531e+03 1.88640837e+04 0.00000000e+00 0.00000000e+00
-5.81039527e+03 1.87897009e+04 0.00000000e+00 0.00000000e+00
-5.80889524e+03 1.87162718e+04 0.00000000e+00 0.00000000e+00
-5.80739520e+03 1.86437706e+04 0.00000000e+00 0.00000000e+00
-5.80589516e+03 1.85721726e+04 0.00000000e+00 0.00000000e+00
-5.80439512e+03 1.85014537e+04 0.00000000e+00 0.00000000e+00
-5.80289509e+03 1.84315912e+04 0.00000000e+00 0.00000000e+00
-5.80139505e+03 1.83625628e+04 0.00000000e+00 0.00000000e+00
-5.79989501e+03 1.82943473e+04 0.00000000e+00 0.00000000e+00
-5.79839497e+03 1.82269241e+04 0.00000000e+00 0.00000000e+00
-5.79689494e+03 1.81602736e+04 0.00000000e+00 0.00000000e+00
-5.79539490e+03 1.80943766e+04 0.00000000e+00 0.00000000e+00
-5.79389486e+03 1.80292148e+04 0.00000000e+00 0.00000000e+00
-5.79239482e+03 1.79647705e+04 0.00000000e+00 0.00000000e+00
-5.79089479e+03 1.79010265e+04 0.00000000e+00 0.00000000e+00
-5.78939475e+03 1.78379664e+04 0.00000000e+00 0.00000000e+00
-5.78789471e+03 1.77755741e+04 0.00000000e+00 0.00000000e+00
-5.78639467e+03 1.77138342e+04 0.00000000e+00 0.00000000e+00
-5.78489464e+03 1.76527320e+04 0.00000000e+00 0.00000000e+00
-5.78339460e+03 1.75922528e+04 0.00000000e+00 0.00000000e+00
-5.78189456e+03 1.75323829e+04 0.00000000e+00 0.00000000e+00
-5.78039452e+03 1.74731086e+04 0.00000000e+00 0.00000000e+00
-5.77889449e+03 1.74144171e+04 0.00000000e+00 0.00000000e+00
-5.77739445e+03 1.73562955e+04 0.00000000e+00 0.00000000e+00
-5.77589441e+03 1.72987318e+04 0.00000000e+00 0.00000000e+00
-5.77439437e+03 1.72417140e+04 0.00000000e+00 0.00000000e+00
-5.77289434e+03 1.71852307e+04 0.00000000e+00 0.00000000e+00
-5.77139430e+03 1.71292706e+04 0.00000000e+00 0.00000000e+00
-5.76989426e+03 1.70738231e+04 0.00000000e+00 0.00000000e+00
-5.76839422e+03 1.70188777e+04 0.00000000e+00 0.00000000e+00
-5.76689419e+03 1.69644242e+04 0.00000000e+00 0.00000000e+00
-5.76539415e+03 1.69104527e+04 0.00000000e+00 0.00000000e+00
-5.76389411e+03 1.68569537e+04 0.00000000e+00 0.00000000e+00
