# Data file for U(x)
# mu = 30.680116930934485
# omB = 12.32
# Columns:
# 1) x
# 2) U(x)
# 3) local density n_e(x)
# 4) compressibility dn_e(x)
# 
-5.99940000e+03 2.32735669e+05 0.00000000e+00 0.00000000e+00
-5.99789996e+03 2.18748978e+05 0.00000000e+00 0.00000000e+00
-5.99639992e+03 2.09318174e+05 0.00000000e+00 0.00000000e+00
-5.99489989e+03 2.01614640e+05 0.00000000e+00 0.00000000e+00
-5.99339985e+03 1.94890726e+05 0.00000000e+00 0.00000000e+00
-5.99189981e+03 1.88814040e+05 0.00000000e+00 0.00000000e+00
-5.99039977e+03 1.83201643e+05 0.00000000e+00 0.00000000e+00
-5.98889974e+03 1.77939746e+05 0.00000000e+00 0.00000000e+00
-5.98739970e+03 1.72951632e+05 0.00000000e+00 0.00000000e+00
-5.98589966e+03 1.68182494e+05 0.00000000e+00 0.00000000e+00
-5.98439962e+03 1.63591393e+05 0.00000000e+00 0.00000000e+00
-5.98289959e+03 1.59146636e+05 0.00000000e+00 0.00000000e+00
-5.98139955e+03 1.54822928e+05 0.00000000e+00 0.00000000e+00
-5.97989951e+03 1.50599540e+05 0.00000000e+00 0.00000000e+00
-5.97839947e+03 1.46459074e+05 0.00000000e+00 0.00000000e+00
-5.97689944e+03 1.42386594e+05 0.00000000e+00 0.00000000e+00
-5.97539940e+03 1.38369005e+05 0.00000000e+00 0.00000000e+00
-5.97389936e+03 1.34394579e+05 0.00000000e+00 0.00000000e+00
-5.97239932e+03 1.30452598e+05 0.00000000e+00 0.00000000e+00
-5.97089929e+03 1.26533061e+05 0.00000000e+00 0.00000000e+00
-5.96939925e+03 1.22626438e+05 0.00000000e+00 0.00000000e+00
-5.96789921e+03 1.18723458e+05 0.00000000e+00 0.00000000e+00
-5.96639917e+03 1.14814913e+05 0.00000000e+00 0.00000000e+00
-5.96489914e+03 1.10891462e+05 0.00000000e+00 0.00000000e+00
-5.96339910e+03 1.06943437e+05 0.00000000e+00 0.00000000e+00
-5.96189906e+03 1.02960636e+05 0.00000000e+00 0.00000000e+00
-5.96039902e+03 9.89320998e+04 0.00000000e+00 0.00000000e+00
-5.95889899e+03 9.48458808e+04 0.00000000e+00 0.00000000e+00
-5.95739895e+03 9.06888269e+04 0.00000000e+00 0.00000000e+00
-5.95589891e+03 8.64464608e+04 0.00000000e+00 0.00000000e+00
-5.95439887e+03 8.21031478e+04 0.00000000e+00 0.00000000e+00
-5.95289884e+03 7.76430112e+04 0.00000000e+00 0.00000000e+00
-5.95139880e+03 7.30526444e+04 0.00000000e+00 0.00000000e+00
-5.94989876e+03 6.83279663e+04 0.00000000e+00 0.00000000e+00
-5.94839872e+03 6.34903581e+04 0.00000000e+00 0.00000000e+00
-5.94689869e+03 5.86230137e+04 0.00000000e+00 0.00000000e+00
-5.94539865e+03 5.39494274e+04 0.00000000e+00 0.00000000e+00
-5.94389861e+03 4.99919509e+04 0.00000000e+00 0.00000000e+00
-5.94239857e+03 4.78444963e+04 0.00000000e+00 0.00000000e+00
-5.94089854e+03 4.93932739e+04 0.00000000e+00 0.00000000e+00
-5.93939850e+03 5.61887515e+04 0.00000000e+00 0.00000000e+00
-5.93789846e+03 6.50184212e+04 0.00000000e+00 0.00000000e+00
-5.93639842e+03 6.95990889e+04 0.00000000e+00 0.00000000e+00
-5.93489839e+03 6.85304038e+04 0.00000000e+00 0.00000000e+00
-5.93339835e+03 6.35700188e+04 0.00000000e+00 0.00000000e+00
-5.93189831e+03 5.67245858e+04 0.00000000e+00 0.00000000e+00
-5.93039827e+03 4.94468339e+04 0.00000000e+00 0.00000000e+00
-5.92889824e+03 4.26145394e+04 0.00000000e+00 0.00000000e+00
-5.92739820e+03 3.66700897e+04 0.00000000e+00 0.00000000e+00
-5.92589816e+03 3.17637428e+04 0.00000000e+00 0.00000000e+00
-5.92439812e+03 2.78683845e+04 0.00000000e+00 0.00000000e+00
-5.92289809e+03 2.48628823e+04 0.00000000e+00 0.00000000e+00
-5.92139805e+03 2.25882636e+04 0.00000000e+00 0.00000000e+00
-5.91989801e+03 2.08825680e+04 0.00000000e+00 0.00000000e+00
-5.91839797e+03 1.96000982e+04 0.00000000e+00 0.00000000e+00
-5.91689794e+03 1.86199999e+04 0.00000000e+00 0.00000000e+00
-5.91539790e+03 1.78480831e+04 0.00000000e+00 0.00000000e+00
-5.91389786e+03 1.72147846e+04 0.00000000e+00 0.00000000e+00
-5.91239782e+03 1.66712834e+04 0.00000000e+00 0.00000000e+00
-5.91089779e+03 1.61850689e+04 0.00000000e+00 0.00000000e+00
-5.90939775e+03 1.57357256e+04 0.00000000e+00 0.00000000e+00
-5.90789771e+03 1.53113165e+04 0.00000000e+00 0.00000000e+00
-5.90639767e+03 1.49055050e+04 0.00000000e+00 0.00000000e+00
-5.90489764e+03 1.45154019e+04 0.00000000e+00 0.00000000e+00
-5.90339760e+03 1.41400457e+04 0.00000000e+00 0.00000000e+00
-5.90189756e+03 1.37793970e+04 0.00000000e+00 0.00000000e+00
-5.90039752e+03 1.34337189e+04 0.00000000e+00 0.00000000e+00
-5.89889749e+03 1.31032340e+04 0.00000000e+00 0.00000000e+00
-5.89739745e+03 1.27879658e+04 0.00000000e+00 0.00000000e+00
-5.89589741e+03 1.24876944e+04 0.00000000e+00 0.00000000e+00
-5.89439737e+03 1.22019760e+04 0.00000000e+00 0.00000000e+00
-5.89289734e+03 1.19301923e+04 0.00000000e+00 0.00000000e+00
-5.89139730e+03 1.16716088e+04 0.00000000e+00 0.00000000e+00
-5.88989726e+03 1.14254281e+04 0.00000000e+00 0.00000000e+00
-5.88839722e+03 1.11908353e+04 0.00000000e+00 0.00000000e+00
-5.88689719e+03 1.09670305e+04 0.00000000e+00 0.00000000e+00
-5.88539715e+03 1.07532514e+04 0.00000000e+00 0.00000000e+00
-5.88389711e+03 1.05487867e+04 0.00000000e+00 0.00000000e+00
-5.88239707e+03 1.03529817e+04 0.00000000e+00 0.00000000e+00
-5.88089704e+03 1.01652399e+04 0.00000000e+00 0.00000000e+00
-5.87939700e+03 9.98502027e+03 0.00000000e+00 0.00000000e+00
-5.87789696e+03 9.81183355e+03 0.00000000e+00 0.00000000e+00
-5.87639692e+03 9.64523695e+03 0.00000000e+00 0.00000000e+00
-5.87489689e+03 9.48482899e+03 0.00000000e+00 0.00000000e+00
-5.87339685e+03 9.33024458e+03 0.00000000e+00 0.00000000e+00
-5.87189681e+03 9.18115036e+03 0.00000000e+00 0.00000000e+00
-5.87039677e+03 9.03724082e+03 0.00000000e+00 0.00000000e+00
-5.86889674e+03 8.89823486e+03 0.00000000e+00 0.00000000e+00
-5.86739670e+03 8.76387290e+03 0.00000000e+00 0.00000000e+00
-5.86589666e+03 8.63391452e+03 0.00000000e+00 0.00000000e+00
-5.86439662e+03 8.50813636e+03 0.00000000e+00 0.00000000e+00
-5.86289659e+03 8.38633052e+03 0.00000000e+00 0.00000000e+00
-5.86139655e+03 8.26830303e+03 0.00000000e+00 0.00000000e+00
-5.85989651e+03 8.15387267e+03 0.00000000e+00 0.00000000e+00
-5.85839647e+03 8.04286988e+03 0.00000000e+00 0.00000000e+00
-5.85689644e+03 7.93513577e+03 0.00000000e+00 0.00000000e+00
-5.85539640e+03 7.83052137e+03 0.00000000e+00 0.00000000e+00
-5.85389636e+03 7.72888677e+03 0.00000000e+00 0.00000000e+00
-5.85239632e+03 7.63010050e+03 0.00000000e+00 0.00000000e+00
-5.85089629e+03 7.53403889e+03 0.00000000e+00 0.00000000e+00
-5.84939625e+03 7.44058550e+03 0.00000000e+00 0.00000000e+00
-5.84789621e+03 7.34963057e+03 0.00000000e+00 0.00000000e+00
-5.84639617e+03 7.26107059e+03 0.00000000e+00 0.00000000e+00
-5.84489614e+03 7.17480783e+03 0.00000000e+00 0.00000000e+00
-5.84339610e+03 7.09074995e+03 0.00000000e+00 0.00000000e+00
-5.84189606e+03 7.00880960e+03 0.00000000e+00 0.00000000e+00
-5.84039602e+03 6.92890412e+03 0.00000000e+00 0.00000000e+00
-5.83889599e+03 6.85095520e+03 0.00000000e+00 0.00000000e+00
-5.83739595e+03 6.77488860e+03 0.00000000e+00 0.00000000e+00
-5.83589591e+03 6.70063388e+03 0.00000000e+00 0.00000000e+00
-5.83439587e+03 6.62812416e+03 0.00000000e+00 0.00000000e+00
-5.83289584e+03 6.55729589e+03 0.00000000e+00 0.00000000e+00
-5.83139580e+03 6.48808862e+03 0.00000000e+00 0.00000000e+00
-5.82989576e+03 6.42044488e+03 0.00000000e+00 0.00000000e+00
-5.82839572e+03 6.35430990e+03 0.00000000e+00 0.00000000e+00
-5.82689569e+03 6.28963151e+03 0.00000000e+00 0.00000000e+00
-5.82539565e+03 6.22636000e+03 0.00000000e+00 0.00000000e+00
-5.82389561e+03 6.16444790e+03 0.00000000e+00 0.00000000e+00
-5.82239557e+03 6.10384994e+03 0.00000000e+00 0.00000000e+00
-5.82089554e+03 6.04452285e+03 0.00000000e+00 0.00000000e+00
-5.81939550e+03 5.98642530e+03 0.00000000e+00 0.00000000e+00
-5.81789546e+03 5.92951777e+03 0.00000000e+00 0.00000000e+00
-5.81639542e+03 5.87376245e+03 0.00000000e+00 0.00000000e+00
-5.81489539e+03 5.81912313e+03 0.00000000e+00 0.00000000e+00
-5.81339535e+03 5.76556516e+03 0.00000000e+00 0.00000000e+00
-5.81189531e+03 5.71305532e+03 0.00000000e+00 0.00000000e+00
-5.81039527e+03 5.66156178e+03 0.00000000e+00 0.00000000e+00
-5.80889524e+03 5.61105400e+03 0.00000000e+00 0.00000000e+00
-5.80739520e+03 5.56150269e+03 0.00000000e+00 0.00000000e+00
-5.80589516e+03 5.51287970e+03 0.00000000e+00 0.00000000e+00
-5.80439512e+03 5.46515804e+03 0.00000000e+00 0.00000000e+00
-5.80289509e+03 5.41831174e+03 0.00000000e+00 0.00000000e+00
-5.80139505e+03 5.37231586e+03 0.00000000e+00 0.00000000e+00
-5.79989501e+03 5.32714640e+03 0.00000000e+00 0.00000000e+00
-5.79839497e+03 5.28278029e+03 0.00000000e+00 0.00000000e+00
-5.79689494e+03 5.23919531e+03 0.00000000e+00 0.00000000e+00
-5.79539490e+03 5.19637008e+03 0.00000000e+00 0.00000000e+00
-5.79389486e+03 5.15428400e+03 0.00000000e+00 0.00000000e+00
-5.79239482e+03 5.11291722e+03 0.00000000e+00 0.00000000e+00
-5.79089479e+03 5.07225062e+03 0.00000000e+00 0.00000000e+00
-5.78939475e+03 5.03226576e+03 0.00000000e+00 0.00000000e+00
-5.78789471e+03 4.99294483e+03 0.00000000e+00 0.00000000e+00
-5.78639467e+03 4.95427068e+03 0.00000000e+00 0.00000000e+00
-5.78489464e+03 4.91622674e+03 0.00000000e+00 0.00000000e+00
-5.78339460e+03 4.87879701e+03 0.00000000e+00 0.00000000e+00
-5.78189456e+03 4.84196604e+03 0.00000000e+00 0.00000000e+00
-5.78039452e+03 4.80571891e+03 0.00000000e+00 0.00000000e+00
-5.77889449e+03 4.77004118e+03 0.00000000e+00 0.00000000e+00
-5.77739445e+03 4.73491892e+03 0.00000000e+00 0.00000000e+00
-5.77589441e+03 4.70033862e+03 0.00000000e+00 0.00000000e+00
-5.77439437e+03 4.66628726e+03 0.00000000e+00 0.00000000e+00
