# Data file for U(x)
# mu = 30.537332695491074
# omB = 12.32
# Columns:
# 1) x
# 2) U(x)
# 3) local density n_e(x)
# 4) compressibility dn_e(x)
# 
-5.99940000e+03 2.32338079e+05 0.00000000e+00 0.00000000e+00
-5.99789996e+03 2.18395116e+05 0.00000000e+00 0.00000000e+00
-5.99639992e+03 2.08993808e+05 0.00000000e+00 0.00000000e+00
-5.99489989e+03 2.01314386e+05 0.00000000e+00 0.00000000e+00
-5.99339985e+03 1.94611550e+05 0.00000000e+00 0.00000000e+00
-5.99189981e+03 1.88553953e+05 0.00000000e+00 0.00000000e+00
-5.99039977e+03 1.82959227e+05 0.00000000e+00 0.00000000e+00
-5.98889974e+03 1.77713940e+05 0.00000000e+00 0.00000000e+00
-5.98739970e+03 1.72741614e+05 0.00000000e+00 0.00000000e+00
-5.98589966e+03 1.67987610e+05 0.00000000e+00 0.00000000e+00
-5.98439962e+03 1.63411120e+05 0.00000000e+00 0.00000000e+00
-5.98289959e+03 1.58980547e+05 0.00000000e+00 0.00000000e+00
-5.98139955e+03 1.54670675e+05 0.00000000e+00 0.00000000e+00
-5.97989951e+03 1.50460843e+05 0.00000000e+00 0.00000000e+00
-5.97839947e+03 1.46333705e+05 0.00000000e+00 0.00000000e+00
-5.97689944e+03 1.42274374e+05 0.00000000e+00 0.00000000e+00
-5.97539940e+03 1.38269796e+05 0.00000000e+00 0.00000000e+00
-5.97389936e+03 1.34308281e+05 0.00000000e+00 0.00000000e+00
-5.97239932e+03 1.30379146e+05 0.00000000e+00 0.00000000e+00
-5.97089929e+03 1.26472423e+05 0.00000000e+00 0.00000000e+00
-5.96939925e+03 1.22578613e+05 0.00000000e+00 0.00000000e+00
-5.96789921e+03 1.18688477e+05 0.00000000e+00 0.00000000e+00
-5.96639917e+03 1.14792839e+05 0.00000000e+00 0.00000000e+00
-5.96489914e+03 1.10882388e+05 0.00000000e+00 0.00000000e+00
-5.96339910e+03 1.06947492e+05 0.00000000e+00 0.00000000e+00
-5.96189906e+03 1.02977984e+05 0.00000000e+00 0.00000000e+00
-5.96039902e+03 9.89629443e+04 0.00000000e+00 0.00000000e+00
-5.95889899e+03 9.48904679e+04 0.00000000e+00 0.00000000e+00
-5.95739895e+03 9.07474502e+04 0.00000000e+00 0.00000000e+00
-5.95589891e+03 8.65194668e+04 0.00000000e+00 0.00000000e+00
-5.95439887e+03 8.21909402e+04 0.00000000e+00 0.00000000e+00
-5.95289884e+03 7.77460517e+04 0.00000000e+00 0.00000000e+00
-5.95139880e+03 7.31714438e+04 0.00000000e+00 0.00000000e+00
-5.94989876e+03 6.84630496e+04 0.00000000e+00 0.00000000e+00
-5.94839872e+03 6.36421694e+04 0.00000000e+00 0.00000000e+00
-5.94689869e+03 5.87916847e+04 0.00000000e+00 0.00000000e+00
-5.94539865e+03 5.41342523e+04 0.00000000e+00 0.00000000e+00
-5.94389861e+03 5.01902681e+04 0.00000000e+00 0.00000000e+00
-5.94239857e+03 4.80495490e+04 0.00000000e+00 0.00000000e+00
-5.94089854e+03 4.95912445e+04 0.00000000e+00 0.00000000e+00
-5.93939850e+03 5.63600185e+04 0.00000000e+00 0.00000000e+00
-5.93789846e+03 6.51553868e+04 0.00000000e+00 0.00000000e+00
-5.93639842e+03 6.97176725e+04 0.00000000e+00 0.00000000e+00
-5.93489839e+03 6.86517656e+04 0.00000000e+00 0.00000000e+00
-5.93339835e+03 6.37087396e+04 0.00000000e+00 0.00000000e+00
-5.93189831e+03 5.68877353e+04 0.00000000e+00 0.00000000e+00
-5.93039827e+03 4.96360437e+04 0.00000000e+00 0.00000000e+00
-5.92889824e+03 4.28281553e+04 0.00000000e+00 0.00000000e+00
-5.92739820e+03 3.69048012e+04 0.00000000e+00 0.00000000e+00
-5.92589816e+03 3.20156765e+04 0.00000000e+00 0.00000000e+00
-5.92439812e+03 2.81337683e+04 0.00000000e+00 0.00000000e+00
-5.92289809e+03 2.51383970e+04 0.00000000e+00 0.00000000e+00
-5.92139805e+03 2.28711849e+04 0.00000000e+00 0.00000000e+00
-5.91989801e+03 2.11707773e+04 0.00000000e+00 0.00000000e+00
-5.91839797e+03 1.98920220e+04 0.00000000e+00 0.00000000e+00
-5.91689794e+03 1.89145167e+04 0.00000000e+00 0.00000000e+00
-5.91539790e+03 1.81444238e+04 0.00000000e+00 0.00000000e+00
-5.91389786e+03 1.75124402e+04 0.00000000e+00 0.00000000e+00
-5.91239782e+03 1.69699272e+04 0.00000000e+00 0.00000000e+00
-5.91089779e+03 1.64844959e+04 0.00000000e+00 0.00000000e+00
-5.90939775e+03 1.60358068e+04 0.00000000e+00 0.00000000e+00
-5.90789771e+03 1.56119674e+04 0.00000000e+00 0.00000000e+00
-5.90639767e+03 1.52066647e+04 0.00000000e+00 0.00000000e+00
-5.90489764e+03 1.48170199e+04 0.00000000e+00 0.00000000e+00
-5.90339760e+03 1.44420751e+04 0.00000000e+00 0.00000000e+00
-5.90189756e+03 1.40817909e+04 0.00000000e+00 0.00000000e+00
-5.90039752e+03 1.37364290e+04 0.00000000e+00 0.00000000e+00
-5.89889749e+03 1.34062112e+04 0.00000000e+00 0.00000000e+00
-5.89739745e+03 1.30911606e+04 0.00000000e+00 0.00000000e+00
-5.89589741e+03 1.27910580e+04 0.00000000e+00 0.00000000e+00
-5.89439737e+03 1.25054612e+04 0.00000000e+00 0.00000000e+00
-5.89289734e+03 1.22337541e+04 0.00000000e+00 0.00000000e+00
-5.89139730e+03 1.19752046e+04 0.00000000e+00 0.00000000e+00
-5.88989726e+03 1.17290183e+04 0.00000000e+00 0.00000000e+00
-5.88839722e+03 1.14943830e+04 0.00000000e+00 0.00000000e+00
-5.88689719e+03 1.12705019e+04 0.00000000e+00 0.00000000e+00
-5.88539715e+03 1.10566154e+04 0.00000000e+00 0.00000000e+00
-5.88389711e+03 1.08520147e+04 0.00000000e+00 0.00000000e+00
-5.88239707e+03 1.06560474e+04 0.00000000e+00 0.00000000e+00
-5.88089704e+03 1.04681191e+04 0.00000000e+00 0.00000000e+00
-5.87939700e+03 1.02876908e+04 0.00000000e+00 0.00000000e+00
-5.87789696e+03 1.01142749e+04 0.00000000e+00 0.00000000e+00
-5.87639692e+03 9.94743008e+03 0.00000000e+00 0.00000000e+00
-5.87489689e+03 9.78675636e+03 0.00000000e+00 0.00000000e+00
-5.87339685e+03 9.63188988e+03 0.00000000e+00 0.00000000e+00
-5.87189681e+03 9.48249845e+03 0.00000000e+00 0.00000000e+00
-5.87039677e+03 9.33827761e+03 0.00000000e+00 0.00000000e+00
-5.86889674e+03 9.19894721e+03 0.00000000e+00 0.00000000e+00
-5.86739670e+03 9.06424857e+03 0.00000000e+00 0.00000000e+00
-5.86589666e+03 8.93394206e+03 0.00000000e+00 0.00000000e+00
-5.86439662e+03 8.80780510e+03 0.00000000e+00 0.00000000e+00
-5.86289659e+03 8.68563047e+03 0.00000000e+00 0.00000000e+00
-5.86139655e+03 8.56722486e+03 0.00000000e+00 0.00000000e+00
-5.85989651e+03 8.45240764e+03 0.00000000e+00 0.00000000e+00
-5.85839647e+03 8.34100981e+03 0.00000000e+00 0.00000000e+00
-5.85689644e+03 8.23287303e+03 0.00000000e+00 0.00000000e+00
-5.85539640e+03 8.12784878e+03 0.00000000e+00 0.00000000e+00
-5.85389636e+03 8.02579763e+03 0.00000000e+00 0.00000000e+00
-5.85239632e+03 7.92658853e+03 0.00000000e+00 0.00000000e+00
-5.85089629e+03 7.83009820e+03 0.00000000e+00 0.00000000e+00
-5.84939625e+03 7.73621058e+03 0.00000000e+00 0.00000000e+00
-5.84789621e+03 7.64481625e+03 0.00000000e+00 0.00000000e+00
-5.84639617e+03 7.55581205e+03 0.00000000e+00 0.00000000e+00
-5.84489614e+03 7.46910053e+03 0.00000000e+00 0.00000000e+00
-5.84339610e+03 7.38458965e+03 0.00000000e+00 0.00000000e+00
-5.84189606e+03 7.30219233e+03 0.00000000e+00 0.00000000e+00
-5.84039602e+03 7.22182617e+03 0.00000000e+00 0.00000000e+00
-5.83889599e+03 7.14341310e+03 0.00000000e+00 0.00000000e+00
-5.83739595e+03 7.06687909e+03 0.00000000e+00 0.00000000e+00
-5.83589591e+03 6.99215393e+03 0.00000000e+00 0.00000000e+00
-5.83439587e+03 6.91917093e+03 0.00000000e+00 0.00000000e+00
-5.83289584e+03 6.84786673e+03 0.00000000e+00 0.00000000e+00
-5.83139580e+03 6.77818107e+03 0.00000000e+00 0.00000000e+00
-5.82989576e+03 6.71005663e+03 0.00000000e+00 0.00000000e+00
-5.82839572e+03 6.64343881e+03 0.00000000e+00 0.00000000e+00
-5.82689569e+03 6.57827560e+03 0.00000000e+00 0.00000000e+00
-5.82539565e+03 6.51451741e+03 0.00000000e+00 0.00000000e+00
-5.82389561e+03 6.45211693e+03 0.00000000e+00 0.00000000e+00
-5.82239557e+03 6.39102899e+03 0.00000000e+00 0.00000000e+00
-5.82089554e+03 6.33121047e+03 0.00000000e+00 0.00000000e+00
-5.81939550e+03 6.27262014e+03 0.00000000e+00 0.00000000e+00
-5.81789546e+03 6.21521859e+03 0.00000000e+00 0.00000000e+00
-5.81639542e+03 6.15896810e+03 0.00000000e+00 0.00000000e+00
-5.81489539e+03 6.10383258e+03 0.00000000e+00 0.00000000e+00
-5.81339535e+03 6.04977746e+03 0.00000000e+00 0.00000000e+00
-5.81189531e+03 5.99676962e+03 0.00000000e+00 0.00000000e+00
-5.81039527e+03 5.94477730e+03 0.00000000e+00 0.00000000e+00
-5.80889524e+03 5.89377004e+03 0.00000000e+00 0.00000000e+00
-5.80739520e+03 5.84371863e+03 0.00000000e+00 0.00000000e+00
-5.80589516e+03 5.79459500e+03 0.00000000e+00 0.00000000e+00
-5.80439512e+03 5.74637222e+03 0.00000000e+00 0.00000000e+00
-5.80289509e+03 5.69902438e+03 0.00000000e+00 0.00000000e+00
-5.80139505e+03 5.65252661e+03 0.00000000e+00 0.00000000e+00
-5.79989501e+03 5.60685497e+03 0.00000000e+00 0.00000000e+00
-5.79839497e+03 5.56198644e+03 0.00000000e+00 0.00000000e+00
-5.79689494e+03 5.51789885e+03 0.00000000e+00 0.00000000e+00
-5.79539490e+03 5.47457088e+03 0.00000000e+00 0.00000000e+00
-5.79389486e+03 5.43198198e+03 0.00000000e+00 0.00000000e+00
-5.79239482e+03 5.39011234e+03 0.00000000e+00 0.00000000e+00
-5.79089479e+03 5.34894288e+03 0.00000000e+00 0.00000000e+00
-5.78939475e+03 5.30845520e+03 0.00000000e+00 0.00000000e+00
-5.78789471e+03 5.26863155e+03 0.00000000e+00 0.00000000e+00
-5.78639467e+03 5.22945480e+03 0.00000000e+00 0.00000000e+00
-5.78489464e+03 5.19090841e+03 0.00000000e+00 0.00000000e+00
-5.78339460e+03 5.15297644e+03 0.00000000e+00 0.00000000e+00
-5.78189456e+03 5.11564346e+03 0.00000000e+00 0.00000000e+00
-5.78039452e+03 5.07889456e+03 0.00000000e+00 0.00000000e+00
-5.77889449e+03 5.04271537e+03 0.00000000e+00 0.00000000e+00
-5.77739445e+03 5.00709195e+03 0.00000000e+00 0.00000000e+00
-5.77589441e+03 4.97201086e+03 0.00000000e+00 0.00000000e+00
-5.77439437e+03 4.93745906e+03 0.00000000e+00 0.00000000e+00
-5.77289434e+03 4.90342396e+03 0.00000000e+00 0.00000000e+00
-5.77139430e+03 4.86989336e+03 0.00000000e+00 0.00000000e+00
-5.76989426e+03 4.83685546e+03 0.00000000e+00 0.00000000e+00
-5.76839422e+03 4.80429882e+03 0.00000000e+00 0.00000000e+00
-5.76689419e+03 4.77221237e+03 0.00000000e+00 0.00000000e+00
-5.76539415e+03 4.74058537e+03 0.00000000e+00 0.00000000e+00
-5.76389411e+03 4.70940742e+03 0.00000000e+00 0.00000000e+00
-5.76239407e+03 4.67866843e+03 0.00000000e+00 0.00000000e+00
-5.76089404e+03 4.64835863e+03 0.00000000e+00 0.00000000e+00
-5.75939400e+03 4.61846852e+03 0.00000000e+00 0.00000000e+00
-5.75789396e+03 4.58898891e+03 0.00000000e+00 0.00000000e+00
-5.75639392e+03 4.55991086e+03 0.00000000e+00 0.00000000e+00
-5.75489389e+03 4.53122571e+03 0.00000000e+00 0.00000000e+00
-5.75339385e+03 4.50292504e+03 0.00000000e+00 0.00000000e+00
-5.75189381e+03 4.47500066e+03 0.00000000e+00 0.00000000e+00
-5.75039377e+03 4.44744465e+03 0.00000000e+00 0.00000000e+00
-5.74889374e+03 4.42024930e+03 0.00000000e+00 0.00000000e+00
-5.74739370e+03 4.39340709e+03 0.00000000e+00 0.00000000e+00
-5.74589366e+03 4.36691075e+03 0.00000000e+00 0.00000000e+00
-5.74439362e+03 4.34075320e+03 0.00000000e+00 0.00000000e+00
